model,horizon,seed,mse,mae,seconds
LSTM,90,2026,165305.5625,314.2178039550781,4.941069602966309
LSTM,90,2027,163094.484375,311.4584655761719,2.853227376937866
LSTM,90,2028,177810.75,326.6693115234375,3.2848193645477295
LSTM,90,2029,162991.234375,311.5159606933594,2.492422342300415
LSTM,90,2030,170404.640625,318.3745422363281,2.3167264461517334
Transformer,90,2026,175207.71875,323.9112548828125,12.272183656692505
Transformer,90,2027,182754.5,337.7267761230469,15.736523151397705
Transformer,90,2028,168253.109375,315.8493347167969,14.98865818977356
Transformer,90,2029,164727.0,314.44732666015625,18.360130786895752
Transformer,90,2030,180361.671875,331.9326477050781,21.467836380004883
WeatherAwareMST,90,2026,161423.078125,311.6421813964844,26.660433530807495
WeatherAwareMST,90,2027,171491.71875,325.74847412109375,14.971316814422607
WeatherAwareMST,90,2028,162436.484375,309.58966064453125,14.09179425239563
WeatherAwareMST,90,2029,155712.203125,304.2428894042969,19.97066831588745
WeatherAwareMST,90,2030,169728.921875,324.505126953125,23.079343795776367
LSTM,365,2026,186118.34375,333.78662109375,4.014829635620117
LSTM,365,2027,178118.359375,326.6285095214844,3.5987050533294678
LSTM,365,2028,186428.359375,336.3041076660156,3.153311014175415
LSTM,365,2029,198427.0625,347.62628173828125,3.077594757080078
LSTM,365,2030,187831.375,335.2073974609375,3.111865282058716
Transformer,365,2026,187060.984375,334.86138916015625,14.775965452194214
Transformer,365,2027,174837.421875,321.19085693359375,13.877616882324219
Transformer,365,2028,184681.53125,333.37982177734375,13.592089176177979
Transformer,365,2029,195352.28125,344.52764892578125,13.042595863342285
Transformer,365,2030,192836.359375,342.17108154296875,12.32377314567566
WeatherAwareMST,365,2026,169370.296875,318.32672119140625,15.309981346130371
WeatherAwareMST,365,2027,187661.1875,336.3450927734375,17.619953870773315
WeatherAwareMST,365,2028,175499.546875,323.2564697265625,19.124277114868164
WeatherAwareMST,365,2029,169502.53125,320.50830078125,13.093173742294312
WeatherAwareMST,365,2030,174589.921875,322.6683654785156,13.233811378479004
